bf_cc,bf_bb,bf_qx,bf_zf,cc_bb,cc_qx,cc_zf,bb_qx,bb_zf,qx_zf
-379.0,63.0,771.0,-45.0,719.0,1427.0,611.0,825.0,9.0,-547.11
-379.0,63.0,681.38,-45.0,719.0,1337.38,611.0,735.38,9.0,-547.11
-566.0,-33.0,578.36,-140.0,708.0,1319.36,601.0,727.36,9.0,-547.11
-566.0,-33.0,578.36,-155.0,708.0,1319.36,586.0,727.36,-6.0,-562.11
-566.0,-33.0,554.4,-155.0,708.0,1295.4,586.0,703.4,-6.0,-507.1
-567.0,-34.0,404.41,-161.0,708.0,1146.41,581.0,554.41,-11.0,-424.41
-567.0,-35.0,497.45,-161.0,707.0,1239.45,581.0,647.45,-11.0,-512.1
-477.0,52.0,587.45,59.0,704.0,1239.45,711.0,647.45,119.0,-382.1
-477.0,47.0,584.47,59.0,699.0,1236.47,711.0,644.47,119.0,-383.1
-476.0,48.0,585.47,60.0,699.0,1236.47,711.0,644.47,119.0,-383.1
-476.0,48.0,583.47,60.0,699.0,1234.47,711.0,642.47,119.0,-382.1
-476.0,43.0,583.47,55.0,694.0,1234.47,706.0,642.47,114.0,-387.1
-295.0,-58.0,454.47,-46.0,513.0,1025.47,525.0,614.47,114.0,-387.1
-318.0,-82.0,318.1,-144.0,512.0,912.1,450.0,450.1,-12.0,-420.17
-318.0,-82.0,318.1,-144.0,512.0,912.1,450.0,450.1,-12.0,-420.17
-319.0,-83.0,420.32,-150.0,512.0,1015.32,445.0,553.32,-17.0,-266.86
-319.0,-87.0,420.32,-155.0,508.0,1015.32,440.0,543.32,-32.0,-271.86
-397.0,-165.0,334.29,-238.0,508.0,1007.29,435.0,535.29,-37.0,-279.84
-445.0,-213.0,425.37,-271.0,508.0,1146.37,450.0,674.37,-22.0,-271.86
-352.0,-120.0,355.3,-243.0,508.0,983.3,385.0,510.3,-88.0,-343.88
-352.0,-125.0,355.3,-218.0,503.0,983.3,410.0,877.3,304.0,-319.89
-391.0,-171.0,403.75,-257.0,496.0,1070.75,410.0,875.75,215.0,-326.9
-499.0,-249.0,323.73,-335.0,503.0,1075.73,417.0,873.73,215.0,-329.9
-419.0,-170.0,403.73,-260.0,502.0,1075.73,412.0,972.73,309.0,-342.92
-419.0,-170.0,403.73,-260.0,502.0,1075.73,412.0,972.73,309.0,-347.94
-436.0,-187.0,386.73,-282.0,502.0,1075.73,407.0,972.73,304.0,-357.94
-592.0,-347.0,230.73,-438.0,498.0,1075.73,407.0,972.73,304.0,-357.94
-631.0,-387.0,200.62,-477.0,497.0,1084.62,407.0,954.62,277.0,-364.96
-592.0,-348.0,237.62,-428.0,497.0,1082.62,417.0,942.62,277.0,-369.0
-703.0,-464.0,126.62,-429.0,492.0,1082.62,527.0,937.62,382.0,-259.0
-703.0,-465.0,126.62,-419.0,491.0,1082.62,537.0,927.62,382.0,-252.03
-654.0,-387.0,175.62,-385.0,520.0,1082.62,522.0,926.62,366.0,-267.03
-654.0,-411.0,246.37,-385.0,496.0,1153.37,522.0,997.37,366.0,-273.05
-612.0,-328.0,329.38,-302.0,676.0,1333.38,702.0,987.38,356.0,-277.03
-612.0,-328.0,438.48,-302.0,676.0,1442.48,702.0,1101.48,361.0,-284.06
-612.0,-328.0,434.0,-302.0,676.0,1438.0,702.0,1022.0,286.0,-292.09
-612.0,-329.0,408.48,-307.0,675.0,1412.48,697.0,995.48,280.0,-304.11
-565.0,-286.0,455.48,-265.0,671.0,1412.48,692.0,995.48,275.0,-333.07
-566.0,-287.0,454.48,-261.0,671.0,1412.48,697.0,985.48,270.0,-331.08
-680.0,-402.0,340.48,-380.0,670.0,1412.48,692.0,995.48,275.0,-343.09
-680.0,-402.0,359.0,-380.0,670.0,1431.0,692.0,1003.0,264.0,-352.1
-689.0,-402.0,359.0,-375.0,640.0,1401.0,667.0,1003.0,269.0,-355.12
-689.0,-402.0,359.0,-145.0,640.0,1401.0,897.0,1003.0,499.0,-131.15
-689.0,-402.0,382.54,-150.0,640.0,1424.54,892.0,1016.54,484.0,-140.14
-689.0,-402.0,382.54,-145.0,640.0,1424.54,897.0,1016.54,489.0,-135.14
-689.0,-402.0,382.54,-160.0,640.0,1424.54,882.0,1016.54,474.0,-163.18
-690.0,-403.0,381.54,-161.0,640.0,1424.54,882.0,1015.54,473.0,-163.18
